recipient_id,name,ein,city,state,irc_section,total_cash,n_rows,years,recipient_class_auto,edgar_cik,edgar_name,edgar_state_inc,edgar_hq_state,f5500_participants_2015,f5500_participants_2019,f5500_participants_2023,f5500_sponsor,metrics_company,metrics_programs,metrics_jobs_retained_max,metrics_industry,metrics_commit_total,recipient_class,parent,parent_hq_state,hq_source,emp_bucket,emp_source,emp_asof,confidence,founded_in_ohio,notes
EIN:941672743,INTEL CORPORATION,941672743,SANTA CLARA,CA,,124422793,2,2023 2024,business,0000050863,INTEL CORP,DE,CA,64535,73355,85013,INTEL CORPORATION,Intel Corporation,Economic Development Grant; Workforce Grant,0,Technology,150000000,business,Intel Corporation,CA,https://www.sec.gov/Archives/edgar/data/50863/000005086324000010/intc-20231230.htm,5000+,https://www.sec.gov/Archives/edgar/data/50863/000005086324000010/intc-20231230.htm; https://stockanalysis.com/stocks/intc/employees/,2023,A,no,"Intel's FY2023 10-K reports 124,800 employees as of Dec. 30, 2023 (131,900 in 2022), headquartered in Santa Clara, CA. The recipient is the public parent itself; the grants fund the New Albany (Licking County) fab project."
EIN:844244377,ULTIUM CELLS,844244377,DETROIT,MI,,50000000,2,2022 2023,business,,,,,,,,,Ultium Cells LLC,Economic Development Grant,0,Automotive,50000000,business,Ultium Cells LLC (50/50 joint venture of General Motors Co. and LG Energy Solution),MI,https://www.jobsohio.com/newsroom/ohio-success/ultium-cells,5000+,https://www.tribtoday.com/news/local-news/2022/03/ultium-charges-up-hiring/; https://www.jobsohio.com/newsroom/ohio-success/ultium-cells,2022,B,no,"Ultium Cells is a JV formed in Dec. 2019 by GM (Detroit, MI) and LG Chem/LG Energy Solution (South Korea); the Lordstown plant itself had about 200 workers at end of 2021, 600+ at end of 2022 and a 1,100+ target for 2023. Bucket reflects the two owners (GM alone reports well over 100,000 employees in its 10-K); no single ultimate parent, so a skeptic could argue for either owner or a 'Korea' HQ."
EIN:340526850,THE SHERWIN-WILLIAMS COMPANY,340526850,CLEVELAND,OH,,41990565,2,2023 2024,business,0000089800,SHERWIN WILLIAMS CO,OH,OH,57650,56029,63090,THE SHERWIN-WILLIAMS COMPANY,The Sherwin-Williams Company,Economic Development Grant; Revitalization Grant,3524,Energy and Chemicals,37500000,business,The Sherwin-Williams Company,OH,https://www.sec.gov/Archives/edgar/data/89800/000008980024000033/shw-20231231.htm,5000+,https://www.sec.gov/Archives/edgar/data/89800/000008980024000033/shw-20231231.htm,2023,A,yes,"FY2023 10-K: 64,088 employees worldwide at Dec. 31, 2023, about 75% in the US; headquartered in Cleveland, founded there in 1866. Grants support the new downtown Cleveland HQ and Brecksville R&D center; JobsOhio metrics list 3,524 retained jobs."
EIN:316000989,UNIVERSITY OF CINCINNATI,316000989,CINCINNATI,OH,STATE OF OHIO,37500000,3,2020 2022 2023,university,,,,,,,,,University of Cincinnati,Spec Development (OSIP),,TBD,1000000,university,University of Cincinnati (State of Ohio public university),OH,https://dam.assets.ohio.gov/image/upload/development.ohio.gov/research/obs/Ohio-Major-Employers-Report.pdf,5000+,https://dam.assets.ohio.gov/image/upload/development.ohio.gov/research/obs/Ohio-Major-Employers-Report.pdf; https://www.uc.edu/news/articles/2022/04/working-at-the-university-of-cincinnati.html,2022,B,yes,"Ohio Department of Development's Dec. 2022 Major Employers report lists University of Cincinnati at 10,512 Ohio employees (UC Health separately at 10,118); UC's own 2022 release says over 15,000 employees. Grants are Spec Development (OSIP) money for the Cincinnati Innovation District, not an operating business."
EIN:316025986,THE OHIO STATE UNIVERSITY,316025986,COLUMBUS,OH,STATE OF OHIO,24500000,4,2021 2022 2023 2024,university,,,,,,,,,,,,,,university,The Ohio State University (State of Ohio public university),OH,https://dam.assets.ohio.gov/image/upload/development.ohio.gov/research/obs/Ohio-Major-Employers-Report.pdf,5000+,https://dam.assets.ohio.gov/image/upload/development.ohio.gov/research/obs/Ohio-Major-Employers-Report.pdf; https://irp.osu.edu/sites/default/files/documents/2024/01/2023-24-Statistical-Summary_0.pdf,2022,B,yes,"Ohio Department of Development's Dec. 2022 Major Employers report lists Ohio State University and Medical Center at 35,656 Ohio employees, fifth-largest employer in the state. No JobsOhio project-metrics row matched; the grants are likely innovation-district and research commitments (Columbus)."
EIN:340714585,THE CLEVELAND CLINIC FOUNDATION,340714585,CLEVELAND,OH,501(C)(3),21850725,1,2024,hospital,0001372440,Cleveland Clinic Foundation,OH,OH,56922,59852,71821,THE CLEVELAND CLINIC FOUNDATION,The Cleveland Clinic Foundation,Economic Development Grant,17745,Healthcare,10000000,hospital,The Cleveland Clinic Foundation,OH,https://dam.assets.ohio.gov/image/upload/development.ohio.gov/research/obs/Ohio-Major-Employers-Report.pdf,5000+,https://dam.assets.ohio.gov/image/upload/development.ohio.gov/research/obs/Ohio-Major-Employers-Report.pdf; https://newsroom.clevelandclinic.org/2025/01/27/state-of-the-clinic-in-2024-cleveland-clinic-serves-most-patients-in-its-history,2024,B,yes,"Cleveland Clinic reports 82,600 caregivers worldwide for 2024; the Dec. 2022 Ohio Major Employers report ranks it Ohio's largest employer at 56,986 in-state. Form 5500 shows 71,821 plan participants in 2023. Nonprofit 501(c)(3) health system, not an operating business; JobsOhio metrics show 17,745 retained jobs."
EIN:942681915,BECHTEL OIL GAS AND CHEMICALS INC,942681915,HOUSTON,TX,,20000000,1,2020,business,0001110785,BECHTEL GROUP INC,DE,CA,,,,,,,,,,business,"Bechtel Group, Inc.",VA,https://www.bechtel.com/press-releases/bechtel-global-headquarters-moves-to-the-washington-d-c-area/,5000+,https://en.wikipedia.org/wiki/Bechtel; https://www.heraldstaronline.com/news/local-news/2020/02/jobsohio-investing-another-20m-toward-proposed-cracker-plant/,2022,C,no,"Bechtel Oil, Gas & Chemicals is the Houston-based unit of privately held Bechtel Group, which moved its HQ from San Francisco to Reston, VA by end of 2018 (EDGAR lists a CA address from older filings). The $20M paid in FY2020 was JobsOhio's site-work money for the PTTGC/Daelim Belmont County ethane cracker, routed to Bechtel as contractor. Bechtel's exact 2020 headcount was not found in its 2020 report; ~55,000 employees in 2022 per Wikipedia, and Bechtel was founded in California in 1898."
EIN:953540776,AMGEN INC,953540776,LOS ANGELES,CA,,18759972,2,2023 2024,business,0000318154,AMGEN INC,DE,CA,15695,17328,20260,AMGEN INC.,Amgen Inc.,Economic Development Grant,400,Healthcare,23000000,business,Amgen Inc.,CA,https://www.sec.gov/Archives/edgar/data/318154/000031815424000011/amgn-20231231.htm,5000+,https://www.sec.gov/Archives/edgar/data/318154/000031815424000011/amgn-20231231.htm; https://stockanalysis.com/stocks/amgn/employees/,2023,A,no,"Amgen's FY2023 10-K lists Thousand Oaks, CA as principal executive office; approximately 26,700 staff at end of 2023 (28,000 in 2024). Grants support the New Albany biomanufacturing plant; JobsOhio metrics show 400 retained jobs."
EIN:340714775,UNIVERSITY HOSPITALS HEALTH SYSTEM INC,340714775,SOLON,OH,501(C)(3),17500000,4,2021 2022 2023 2024,hospital,,,,,28615,30320,34924,UNIVERSITY HOSPITALS HEALTH SYSTEM,,,,,,hospital,"University Hospitals Health System, Inc.",OH,https://dam.assets.ohio.gov/image/upload/development.ohio.gov/research/obs/Ohio-Major-Employers-Report.pdf,5000+,https://dam.assets.ohio.gov/image/upload/development.ohio.gov/research/obs/Ohio-Major-Employers-Report.pdf; https://www.uhhospitals.org/about-uh/publications/uh-annual-report/2022-annual-report,2022,B,yes,"Ohio Major Employers report (Dec. 2022) lists University Hospitals Health System at 30,891 Ohio employees, headquartered in Shaker Heights; UH's 2021 annual report says more than 30,000 employees. Form 5500 shows 34,924 participants in 2023. Nonprofit 501(c)(3) health system; no JobsOhio metrics row matched."
EIN:341018992,CASE WESTERN RESERVE UNIVERSITY,341018992,CLEVELAND,OH,501(C)(3),15000000,3,2021 2023 2024,university,0001732073,Case Western Reserve University,OH,OH,6210,6154,5852,CASE WESTERN RESERVE UNIVERSITY,,,,,,university,Case Western Reserve University,OH,https://case.edu/ir/cwru-facts/faculty-and-staff-facts,5000+,https://www.univstats.com/staffs/case-western-reserve-university/; https://case.edu/ir/cwru-facts/faculty-and-staff-facts,2023,B,yes,"IPEDS-derived counts show about 1,485 faculty and 4,766 non-instructional staff (about 6,250 total) in 2023; Form 5500 shows 5,852 participants in 2023, consistent with 5,000+. Private nonprofit university in Cleveland, founded there (Western Reserve College 1826, Case School 1880). Grants likely tied to the Cleveland Innovation District."
